0,115.127
1,115.164
2,115.173
3,115.181
4,115.188
5,115.196
6,115.205
7,115.224
8,115.242
9,115.253
10,115.261
11,115.27
12,115.28
13,115.288
14,115.297
15,115.307
16,115.316
17,115.326
18,115.335
19,115.346
20,115.356
21,115.366
22,115.376
23,115.386
24,115.396
25,115.406
26,115.417
27,115.426
28,115.438
29,115.449
30,115.459
31,115.47
32,115.481
33,115.493
34,115.505
35,115.516
36,115.528
37,115.541
38,115.552
39,115.565
40,115.578
41,115.589
42,115.602
43,115.614
44,115.627
45,115.64
46,115.652
47,115.666
48,115.679
49,115.692
50,115.705
51,115.719
52,115.732
53,115.746
54,115.76
55,115.773
56,115.787
57,115.8
58,115.815
59,115.829
60,115.842
61,115.857
62,115.872
63,115.886
64,115.901
65,115.917
66,115.933
67,115.949
68,115.965
69,115.98
70,115.997
71,116.012
72,116.028
73,116.044
74,116.06
75,116.075
76,116.092
77,116.108
78,116.124
79,116.142
80,116.158
81,116.174
82,116.192
83,116.208
84,116.226
85,116.242
86,116.26
87,116.278
88,116.294
89,116.313
90,116.333
91,116.351
92,116.37
93,116.388
94,116.405
95,116.424
96,116.443
97,116.461
98,116.48
99,116.498
100,116.517
101,116.536
102,116.555
103,116.574
104,116.594
105,116.613
106,116.632
107,116.652
108,116.672
109,116.691
110,116.711
111,116.758
112,116.792
113,116.815
114,116.836
115,116.857
116,116.878
117,116.899
118,116.92
119,116.942
120,116.962
121,116.984
122,117.005
123,117.026
124,117.048
125,117.08
126,117.117
127,117.142
128,117.165
129,117.189
130,117.215
131,117.266
132,117.318
133,117.35
134,117.389
135,117.439
136,117.494
137,117.539
138,117.572
139,117.598
140,117.622
141,117.647
142,117.672
143,117.695
144,117.72
145,117.749
146,117.775
147,117.8
148,117.824
149,117.856
150,117.93
151,117.968
152,118.006
153,118.04
154,118.073
155,118.102
156,118.139
157,118.181
158,118.227
159,118.281
160,118.32
161,118.36
162,118.4
163,118.44
164,118.481
165,118.52
166,118.559
167,118.601
168,118.641
169,118.683
170,118.722
171,118.758
172,118.799
173,118.848
174,118.888
175,118.921
176,118.95
177,118.979
178,119.008
179,119.037
180,119.066
181,119.095
182,119.125
183,119.153
184,119.183
185,119.213
186,119.242
187,119.271
188,119.302
189,119.331
190,119.361
191,119.391
192,119.421
193,119.451
194,119.481
195,119.513
196,119.544
197,119.574
198,119.617
199,119.654
200,119.69
201,119.728
202,119.765
203,119.8
204,119.843
205,119.886
206,119.921
207,119.955
208,120.001
209,120.051
210,120.097
211,120.142
212,120.181
213,120.229
214,120.278
215,120.326
216,120.376
217,120.424
218,120.472
219,120.521
220,120.571
221,120.621
222,120.671
223,120.721
224,120.773
225,120.823
226,120.872
227,120.921
228,120.972
229,121.022
230,121.073
231,121.125
232,121.176
233,121.226
234,121.276
235,121.326
236,121.376
237,121.426
238,121.476
239,121.528
240,121.588
241,121.64
242,121.684
243,121.723
244,121.759
245,121.796
246,121.833
247,121.87
248,121.907
249,121.943
250,121.981
251,122.018
252,122.055
253,122.092
254,122.129
255,122.167
256,122.205
257,122.244
258,122.284
259,122.324
260,122.363
261,122.401
262,122.442
263,122.482
264,122.523
265,122.562
266,122.603
267,122.644
268,122.685
269,122.726
270,122.767
271,122.809
272,122.87
273,122.937
274,122.997
275,123.058
276,123.119
277,123.181
278,123.241
279,123.303
280,123.363
281,123.425
282,123.485
283,123.544
284,123.592
285,123.636
286,123.68
287,123.726
288,123.785
289,123.847
290,123.899
291,123.954
292,124.001
293,124.046
294,124.089
295,124.134
296,124.179
297,124.222
298,124.268
299,124.323
300,124.385
301,124.437
302,124.483
303,124.529
304,124.574
305,124.619
306,124.664
307,124.709
308,124.755
309,124.802
310,124.864
311,124.932
312,124.989
313,125.035
314,125.081
315,125.128
316,125.175
317,125.222
318,125.269
319,125.316
320,125.364
321,125.411
322,125.48
323,125.55
324,125.616
325,125.685
326,125.755
327,125.824
328,125.892
329,125.956
330,126.023
331,126.093
332,126.163
333,126.234
334,126.302
335,126.371
336,126.435
337,126.49
338,126.558
339,126.63
340,126.7
341,126.772
342,126.846
343,126.915
344,126.988
345,127.06
346,127.135
347,127.208
348,127.281
349,127.354
350,127.426
351,127.498
352,127.57
353,127.641
354,127.713
355,127.806
356,127.884
357,127.962
358,128.038
359,128.125
360,128.208
361,128.285
362,128.361
363,128.436
364,128.509
365,128.583
366,128.66
367,128.73
368,128.802
369,128.872
370,128.939
371,129.004
372,129.066
373,129.128
374,129.2
375,129.278
376,129.365
377,129.444
378,129.504
379,129.569
380,129.636
381,129.691
382,129.747
383,129.803
384,129.858
385,129.925
386,129.991
387,130.056
388,130.113
389,130.168
390,130.223
391,130.278
392,130.337
393,130.398
394,130.453
395,130.508
396,130.564
397,130.62
398,130.676
399,130.733
400,130.791
401,130.85
402,130.914
403,130.973
404,131.03
405,131.088
406,131.145
407,131.203
408,131.261
409,131.319
410,131.377
411,131.436
412,131.497
413,131.555
414,131.615
415,131.691
416,131.761
417,131.838
418,131.933
419,132.015
420,132.097
421,132.173
422,132.234
423,132.31
424,132.374
425,132.442
426,132.503
427,132.563
428,132.622
429,132.683
430,132.742
431,132.802
432,132.862
433,132.922
434,132.983
435,133.043
436,133.104
437,133.165
438,133.225
439,133.286
440,133.348
441,133.408
442,133.469
443,133.531
444,133.592
445,133.654
446,133.715
447,133.777
448,133.839
449,133.902
450,133.963
451,134.026
452,134.088
453,134.15
454,134.214
455,134.277
456,134.339
457,134.402
458,134.464
459,134.528
460,134.615
461,134.698
462,134.77
463,134.843
464,134.908
465,134.973
